63.00,26.60,98,2024-05-19 19:27:49
63.00,26.60,98,2024-05-19 19:27:49
63.00,26.70,98,2024-05-19 19:27:50
63.00,26.70,98,2024-05-19 19:27:50
63.00,26.70,98,2024-05-19 19:27:51
63.00,26.70,98,2024-05-19 19:27:51
63.00,26.60,98,2024-05-19 19:27:52
63.00,26.60,98,2024-05-19 19:27:52
63.00,26.60,98,2024-05-19 19:27:53
63.00,26.60,98,2024-05-19 19:27:53
63.00,26.70,98,2024-05-19 19:27:54
63.00,26.70,98,2024-05-19 19:27:54
63.00,26.70,98,2024-05-19 19:27:55
63.00,26.70,98,2024-05-19 19:27:55
63.00,26.70,98,2024-05-19 19:27:56
63.00,26.70,98,2024-05-19 19:27:56
63.00,26.70,98,2024-05-19 19:27:57
63.00,26.70,98,2024-05-19 19:27:57
63.00,26.60,98,2024-05-19 19:27:58
63.00,26.60,98,2024-05-19 19:27:58
63.00,26.60,98,2024-05-19 19:27:59
63.00,26.60,98,2024-05-19 19:27:59
63.00,26.70,98,2024-05-19 19:28:00
63.00,26.70,98,2024-05-19 19:28:00
63.00,26.70,98,2024-05-19 19:28:01
63.00,26.70,98,2024-05-19 19:28:01
63.00,26.80,98,2024-05-19 19:28:02
